DATAFLOW,LAST UPDATE,freq,na_item,sector,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2022-Q3,-129648.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2022-Q4,-153534.8,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2023-Q1,-146513.5,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2023-Q2,-97729.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2023-Q3,-91222.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2020-Q4,-193138.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2021-Q1,-249133.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2021-Q2,-195802.5,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2021-Q3,-116147.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2021-Q4,-89678.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2022-Q1,-128092.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2022-Q2,-74351.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2022-Q3,-128865.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2022-Q4,-154438.4,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2023-Q1,-146778.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2023-Q2,-97639.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA20,2023-Q3,-89910.6,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2020-Q4,-431.4,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2021-Q1,-429.5,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2021-Q2,-232.5,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2021-Q3,-56.4,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2021-Q4,-48.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2022-Q1,-256.5,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2022-Q2,197.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2022-Q3,-3.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2022-Q4,-286.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2023-Q1,-382.7,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2023-Q2,35.9,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EE,2023-Q3,-202.6,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2020-Q4,-5711,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2021-Q1,-7226,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2021-Q2,-3383,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2021-Q3,-383,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2021-Q4,-1671,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2022-Q1,-4283,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2022-Q2,737,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2022-Q3,-1121,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2022-Q4,-225,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2023-Q1,-4628,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2023-Q2,892,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EL,2023-Q3,1279,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2020-Q4,-35580,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2021-Q1,-20688,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2021-Q2,-34439,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2021-Q3,939,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2021-Q4,-28074,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2022-Q1,-6066,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2022-Q2,-28797,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2022-Q3,8287,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2022-Q4,-37160,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2023-Q1,-3184,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2023-Q2,-32175,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,ES,2023-Q3,9935,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2020-Q4,-230292.6,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2021-Q1,-260470.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2021-Q2,-196910.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2021-Q3,-115675.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2021-Q4,-117351.4,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2022-Q1,-133150.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2022-Q2,-65489.6,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2022-Q3,-138097.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2022-Q4,-192384.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2023-Q1,-161615.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2023-Q2,-103129,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EU27_2020,2023-Q3,-105964,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2020-Q4,-4593,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2021-Q1,-3059,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2021-Q2,-164,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2021-Q3,-3336,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2021-Q4,-471,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2022-Q1,-966,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2022-Q2,2016,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2022-Q3,-2069,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2022-Q4,-368,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2023-Q1,-800,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2023-Q2,70,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FI,2023-Q3,-3054,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2020-Q4,-27918.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2021-Q1,-78416.8,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2021-Q2,-52313.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2021-Q3,-35918.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2021-Q4,4569.6,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2022-Q1,-48594.5,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2022-Q2,-27098.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2022-Q3,-41418.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2022-Q4,-9684.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2023-Q1,-46169.6,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2023-Q2,-35464.3,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,FR,2023-Q3,-41511.5,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2020-Q4,-1217,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2021-Q1,-624.8,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2021-Q2,-726.4,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2021-Q3,627.5,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2021-Q4,-732.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2022-Q1,-42.4,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2022-Q2,240.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2022-Q3,783.8,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2022-Q4,-903.6,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2023-Q1,-264.6,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2023-Q2,89.4,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HR,2023-Q3,1311.7,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2020-Q4,-5947.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2021-Q1,-2393.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2021-Q2,-1852.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2021-Q3,-1908.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2021-Q4,-4812.8,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2022-Q1,-1118,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2022-Q2,-679.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2022-Q3,-2391.4,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2022-Q4,-6065.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2023-Q1,-4441.3,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,HU,2023-Q2,-1529.7,p
